Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Oklahoma City Thunder,42,10080,36.7,85.7,.428,12.4,38.7,.320,24.3,47.0,.517,18.2,23.9,.762,12.1,34.4,46.4,24.1,6.8,4.8,18.6,17.8,103.9
2,Los Angeles Clippers,42,10105,39.5,87.1,.453,12.9,38.1,.340,26.5,49.1,.541,16.4,21.6,.760,10.2,33.0,43.3,25.5,9.6,4.8,15.8,17.8,108.3
3,Houston Rockets,42,10155,39.6,87.8,.451,12.5,34.6,.362,27.1,53.2,.509,16.6,22.5,.740,10.8,32.4,43.2,22.6,7.9,6.0,15.8,20.0,108.3
4,Orlando Magic,45,10800,39.1,83.0,.471,11.5,31.4,.367,27.5,51.6,.534,18.7,24.2,.771,8.7,34.1,42.8,23.2,8.4,4.4,17.4,21.6,108.4
5,Memphis Grizzlies,43,10320,39.3,87.7,.447,13.1,37.7,.348,26.1,50.0,.522,18.0,23.9,.752,11.2,30.3,41.5,24.7,8.9,5.6,15.6,20.3,109.6
6,Boston Celtics,43,10420,41.3,91.6,.451,13.0,37.4,.349,28.2,54.2,.521,14.6,18.5,.789,10.8,34.5,45.3,24.7,7.1,4.3,13.8,19.0,110.2
7,Minnesota Timberwolves,43,10370,40.9,90.5,.452,13.2,37.9,.347,27.7,52.6,.528,15.9,20.2,.784,11.7,32.8,44.5,24.8,9.7,4.8,15.0,19.3,110.9
8,Cleveland Cavaliers,42,10080,41.1,89.5,.459,13.3,36.3,.366,27.8,53.2,.523,16.0,20.4,.784,10.5,32.8,43.3,25.8,7.6,4.6,14.9,18.8,111.4
9,Milwaukee Bucks,41,9865,40.5,89.9,.451,13.9,39.0,.355,26.6,50.8,.524,16.6,20.9,.791,10.4,34.5,44.9,25.5,7.6,3.9,13.4,18.7,111.4
10,Golden State Warriors,42,10105,40.8,89.1,.458,13.8,38.3,.359,27.0,50.7,.533,16.7,21.5,.775,10.8,34.8,45.6,26.6,7.7,6.2,15.0,17.5,112.0
11,Miami Heat,42,10205,42.0,90.8,.462,13.9,38.7,.358,28.1,52.1,.540,14.5,18.4,.789,11.4,35.2,46.5,27.5,7.4,5.2,14.6,18.1,112.3
12,Dallas Mavericks,43,10345,41.3,91.1,.453,13.1,36.5,.359,28.2,54.7,.515,16.8,21.9,.770,12.2,32.9,45.1,26.4,8.5,4.5,14.2,19.1,112.5
13,Sacramento Kings,42,10205,40.4,87.3,.463,14.3,38.3,.372,26.1,49.0,.533,18.2,22.8,.797,9.7,33.1,42.9,25.6,7.8,4.5,14.9,18.8,113.3
14,Detroit Pistons,43,10420,41.1,87.9,.468,13.9,37.0,.376,27.2,50.9,.534,17.3,22.3,.775,10.1,32.2,42.3,25.5,9.7,4.8,14.6,18.0,113.4
15,Denver Nuggets,43,10420,42.5,91.9,.462,13.5,38.4,.350,29.0,53.5,.542,15.4,20.0,.772,11.3,30.6,41.9,29.0,8.9,5.4,13.5,19.5,113.8
16,San Antonio Spurs,41,9890,42.9,93.5,.459,13.8,38.5,.358,29.1,55.0,.530,14.3,18.1,.786,11.9,34.1,46.0,26.3,8.7,4.5,13.2,18.4,113.9
17,Charlotte Hornets,39,9435,41.2,88.7,.465,13.7,39.4,.349,27.5,49.3,.557,17.8,22.8,.781,10.7,34.1,44.8,26.8,8.3,5.6,14.5,19.2,114.0
18,New York Knicks,45,10850,42.2,90.2,.468,14.1,37.5,.377,28.1,52.7,.533,15.5,19.7,.785,10.9,31.3,42.1,26.2,7.1,5.0,14.4,19.7,114.0
19,Atlanta Hawks,42,10155,41.9,88.2,.475,14.4,38.3,.377,27.5,49.9,.550,16.2,20.5,.788,10.4,32.6,43.0,27.5,9.2,5.2,16.0,19.1,114.5
20,Indiana Pacers,43,10370,41.8,88.8,.471,13.0,36.9,.352,28.8,51.8,.555,18.1,23.2,.779,11.0,33.0,44.0,25.8,7.6,4.5,14.3,18.6,114.6
21,Philadelphia 76ers,42,10180,42.1,86.3,.488,13.7,37.5,.366,28.4,48.9,.581,17.5,22.1,.790,10.6,34.7,45.3,27.8,7.4,5.6,17.3,20.1,115.4
22,Chicago Bulls,44,10585,43.3,92.0,.471,12.8,38.1,.336,30.5,53.9,.566,16.2,20.8,.778,10.7,34.6,45.2,27.7,7.9,4.8,12.1,15.8,115.7
23,Los Angeles Lakers,41,9865,43.6,91.5,.477,13.7,37.7,.363,29.9,53.8,.557,14.8,18.8,.786,11.2,33.6,44.9,28.4,8.0,4.4,14.4,20.1,115.7
24,Brooklyn Nets,44,10635,41.9,85.9,.488,13.9,36.8,.379,28.0,49.1,.571,18.9,24.3,.776,9.6,33.9,43.5,27.9,8.6,6.0,15.3,19.8,116.7
25,Phoenix Suns,42,10130,42.6,91.9,.463,14.1,39.0,.361,28.5,53.0,.538,17.7,22.7,.781,12.1,33.8,45.9,27.3,8.3,4.3,13.0,20.1,117.0
26,Portland Trail Blazers,43,10320,42.8,89.4,.478,14.0,37.1,.377,28.8,52.3,.550,18.2,22.8,.797,12.2,33.2,45.4,27.5,9.7,5.9,15.2,18.7,117.7
27,New Orleans Pelicans,44,10610,43.6,90.8,.480,14.0,38.8,.361,29.6,52.0,.570,16.6,20.9,.793,12.1,34.5,46.6,28.2,8.8,5.6,15.1,18.0,117.9
28,Toronto Raptors,43,10395,41.8,88.5,.472,14.3,38.7,.369,27.5,49.9,.553,20.2,26.2,.773,11.7,32.3,44.0,26.7,9.4,5.8,14.3,18.6,118.1
29,Utah Jazz,41,9890,43.7,91.8,.476,14.5,40.4,.358,29.2,51.4,.569,16.9,22.2,.759,11.4,31.4,42.8,28.6,10.0,6.5,12.1,20.0,118.7
30,Washington Wizards,42,10105,43.3,90.9,.476,14.2,39.2,.363,29.1,51.7,.562,19.1,24.3,.785,12.3,35.4,47.7,27.9,9.3,5.6,13.1,17.7,119.9